product_id,matched_name,original_input,quantity,match_score,idx
F001182,鴻禧菇(包),鴻禧菇(包),18,1.0,0
S009360,花生粉,花生粉,18,1.0,1
B041010,龍鬚菜,龍鬚菜,20,1.0,2
D019010,紅椒/甜紅椒/紅甜椒,紅椒/甜紅椒/紅甜椒,9,1.0,3
Q015120,茶鵝,茶鵝,12,1.0,4
C003100,甘蔗筍,甘蔗筍,19,1.0,5
Q045060,貢丸大,貢丸大,16,1.0,6
J001011,冷凍五花肉條,冷凍五花肉條,8,1.0,7
G013080,老豆腐,老豆腐,20,1.0,8
L001230,牛肚,牛肚,7,1.0,9
J009380,豬板油\二層油,猪板油\二層油,10,0.86,10
R007060,筍絲,筍絲,12,1.0,11
J001070,五花肉塊,五花肉塊,4,1.0,12
G005010,豆干,凉拌豆干絲,0,0.9,13
B015016,進口小菠菜,進口小菠菜,20,1.0,14
G017030,甜不辣條,甜不辣條,0,1.0,15
N001020,光鴨,光鴨,15,1.0,16
H001170,魚皮,魚皮,6,1.0,17
J009380,豬板油\二層油,猪板油\二層油,16,0.86,18
L001190,牛柳,牛柳,19,1.0,19
C021012,洋芋\馬鈴薯丁,洋芋\馬鈴薯丁,4,1.0,20
D015010,茄子/麻荸茄/長茄,茄子/麻茄/長茄,0,0.94,21
Q027021,芝麻湯圓桂冠,芝麻湯圆桂冠,0,0.83,22
E011020,薑片,薑片,10,1.0,23
R015230,冷凍馬鈴薯丁,冷凍馬鈴薯丁,11,1.0,24
B071250,竹葉,竹葉,0,1.0,27
Q001150,涼拌豬頭皮,涼拌猪頭皮,14,0.8,28
J045010,火鍋豬肉片,火猪肉片,14,0.67,29
R007060,筍絲,筍絲,18,1.0,30
G013090,油豆腐,油豆腐,1,1.0,31
S023210,油花生,油花生,14,1.0,32
Q033130,蝦仁卷\蝦卷,蝦仁卷\蝦卷,1,1.0,33
Q045300,鴨肉丸,鴨肉丸,20,1.0,34
B013010,空心菜/蕹菜,空心菜/菜,2,0.91,35
S035030,紫蘇葉,紫蘇葉,11,1.0,36
B031010,油菜,油菜,2,1.0,37
B027010,茼萵\冬蚵菜,高\冬菜,8,0.68,38
G023600,素明蝦,素明蝦,3,1.0,39
E005069,紅蔥頭去皮去頭尾,紅頭去皮去頭尾,15,0.93,40
E001014,芹菜/中芹去葉,芹菜/中芹去葉,3,1.0,41
A023012,紐西蘭奇異果,紐西蘭奇異果,7,1.0,42
C009050,紅蘿蔔絲,紅蘿蔔絲,13,1.0,43
J009061,豬大腸頭,豬大腸頭,16,1.0,44
Q037150,刈包\割包,刘包\割包,15,0.8,45
S007033,油麵(大維),油麵(大維),4,1.0,46
B003010,小白菜/土白菜,白菜,8,0.9,47
R015070,冷凍青豆仁,冷凍青豆仁,1,1.0,48
E011060,嫩薑,嫩薑,9,1.0,49
B065050,韭菜,韭菜,13,1.0,50
R003030,酸菜心,酸菜心,14,1.0,51
C003034,麻竹筍絲,麻竹筍絲,13,1.0,52
L001360,牛鞭,牛鞭,3,1.0,53
G023100,素獅子頭,素獅子頭,15,1.0,54
E002407,紅火焰生菜,紅火焰生菜,1,1.0,55
S031120,真空白果,真空白果,4,1.0,56
J009330,豬後腿肉\豬後腳,猪後腿肉\猪後,13,0.67,57
K013070,清雞胸肉,清雞胸肉,7,1.0,58
D027011,甜豆去蒂,甜豆去蒂,7,1.0,60
R007020,桶筍,桶筍,15,1.0,61
E009010,蒜頭/蒜瓣,蒜頭/蒜瓣,17,1.0,62
Q035010,吐司,吐司,9,1.0,63
F001030,洋菇\蘑菇,洋菇\菇,14,0.89,64
D041105,玉米筍,玉米筍/盒装100g/進□,18,0.9,65
J001071,五花肉塊/控肉在薄一點,五花肉塊/控肉在薄一點 17,0,0.95,66
L001021,和尚頭牛肉片,和尚頭牛肉片,17,1.0,67